id,name,created_by_id,last_modified_by_id
f68c97c5-2ea7-431e-8e4d-bc4a1118b62b,İSTANBUL,3,3
f25d9ff9-f343-4a54-93e3-36180dbcab32,ADANA,3,3
9a9704a3-ac46-4dfb-89b2-2c582478650b,VAN,3,3
82fe070e-7f4b-4c08-a627-64979612ddc0,BAYBURT,3,3
b2146e95-c44b-4684-9240-7a8af672cca6,ADIYAMAN,3,3
e235fae1-2bde-4a17-82af-c80e1622b452,DÜZCE,3,3
e414f007-372a-4eb4-8528-96f4472b0abf,BOLU,3,3
440c7b36-fdf8-44ae-9083-523d44298079,HAKKARİ,3,3
d43a7d97-ca36-4b01-b3c8-70fa357836cf,ISPARTA,3,3
69f57ea2-fba7-4fe1-9a3e-2c04515584de,NEVŞEHİR,3,3
24bc317b-2ed3-4944-b83e-c59253b5c058,AYDIN,3,3
7e1a2f38-0110-4d83-9828-06b50510f925,KARABÜK,3,3
8b7f8818-c1c7-4b6c-89c6-9427fdc92fd9,MUĞLA,3,3
162397e6-3942-45a2-aa9b-4ec912f86c0f,ORDU,3,3
ed3b2e3c-2fe6-4d86-8e7f-8d484f63bf43,KARAMAN,3,3
2facbd65-ca92-408e-ac53-516e60f468d7,TRABZON,3,3
9433f841-d4dc-4754-bdf5-3ed5736bbb8e,ÇANKIRI,3,3
41038aca-97da-463f-a3da-dc26548adf36,ELAZIĞ,3,3
bd2215be-7c99-4132-8fdd-ef0e857ce616,AFYONKARAHİSAR,3,3
5655551f-a4f5-4921-b6a8-1399c5b8b71b,ÇORUM,3,3
db4cfb7c-95be-4abc-948e-c5de57785d6b,ÇANAKKALE,3,3
3a2598ff-e30b-4e00-aac2-d7764f4475b6,AMASYA,3,3
acd6ebfa-8ff9-4511-b1cf-835ca3b362a4,ZONGULDAK,3,3
5f83fa90-a3e1-44ca-84e2-18c5c531c200,İZMİR,3,3
9b5965d9-4b44-49d4-a6ff-e98f61308229,BURSA,3,3
3f087c0f-5039-4bf3-856a-afffcdaf592b,KIRKLARELİ,3,3
0fe5a765-5d86-407b-a18a-954507784c74,MANİSA,3,3
6a1721f9-d4aa-47d5-b93d-c7500eb46bda,KİLİS,3,3
fb3852b5-0780-407c-bd0f-da2d0109465c,TOKAT,3,3
aa0ea380-90b7-4a2b-b0a0-fea002269c26,TUNCELİ,3,3
9baa4aa1-0d76-42ff-be9b-b7a5b0955624,AKSARAY,3,3
00e74a54-5fbc-4a58-a5fa-f395c1066b13,KARS,3,3
12b486c0-a64b-4f4a-9c67-be7572242c83,SİİRT,3,3
fa6946d4-b281-4cc5-a047-0b4b80a11268,SİVAS,3,3
4f36f744-5985-4605-b65a-a60f986d8197,KONYA,3,3
8feb7f1c-b474-488d-b246-276ff423ce52,MUŞ,3,3
38535176-c8b2-4baa-a100-072505be3e76,UŞAK,3,3
34dbd6d4-c49b-4f8b-8b4c-f34456e0cdab,KAHRAMANMARAŞ,3,3
4f3e05ac-e7fc-4a98-afd7-d817c36e9793,KASTAMONU,3,3
0de21b17-01ce-4f56-8443-c600eee0900d,ERZİNCAN,3,3
5483513b-61a1-44f1-8f0d-173195a24fe7,DİYARBAKIR,3,3
2385ddbd-89bf-46e8-96bd-30963a3391fc,ARTVİN,3,3
7a47e8c4-2981-41bf-a91b-83e769344b29,DENİZLİ,3,3
93be93aa-0410-498d-b1c6-8345ee73417d,BİTLİS,3,3
0eb06902-3df3-4bcc-9dfa-3a7c6e205e7a,MALATYA,3,3
3a65f91e-3637-476e-a40e-dda0b091a264,SİNOP,3,3
3232c980-5404-4060-b18c-fa745df09751,GİRESUN,3,3
218f64ca-3609-4089-9e7c-642488652fbb,BURDUR,3,3
ed75450b-02d0-4be1-9b67-a69da901b6bc,GAZİANTEP,3,3
790797ad-0a51-451a-a4a7-da9f2bfe1bb6,YOZGAT,3,3
031f11b8-3980-4749-a4af-dcc46c317f72,AĞRI,3,3
5e5b9920-e84c-44ef-905a-cd31b3a66c44,ERZURUM,3,3
8f91f557-ab29-48d8-9ad6-38e0da9c88ec,SAMSUN,3,3
44cdfe28-bdba-43a6-a500-186b456d814d,KAYSERİ,3,3
ef30a7f2-0bd1-470a-acd8-3136a7109af2,ESKİŞEHİR,3,3
68837a9e-b016-4c8b-933e-5c279da5c295,BİNGÖL,3,3
e122d251-ff23-495c-92fa-d1f36f10028d,KIRŞEHİR,3,3
1d2076c2-7bd0-4423-92e4-3df04e0dfea3,IĞDIR,3,3
f7f64f1d-072e-4db8-9908-894134524c69,ŞANLIURFA,3,3
4a28fa4d-2a2e-493c-b0d2-e75de996b3e6,RİZE,3,3
a921760b-c02c-4d06-9f64-2a75d69df689,YALOVA,3,3
8b88c606-15c7-487b-8d6d-26a36bd70b8c,BALIKESİR,3,3
43c96813-0567-4760-a2b5-e9fa8e62764e,NİĞDE,3,3
d71b357d-c159-4a3d-b0c4-bfb875b86a78,OSMANİYE,3,3
29cdfc6a-53fc-4673-a47e-8e53d64a0ac4,HATAY,3,3
924ffc59-57ef-4bc5-83f5-de469f35f5bd,GÜMÜŞHANE,3,3
4fd7e41e-3234-40c2-bec0-3c33f6d13bca,KÜTAHYA,3,3
6429b812-7c0f-4a22-8c2d-3d308a0c3f82,ANKARA,3,3
9c9e321e-663f-4cb4-8085-5facd464dc68,TEKİRDAĞ,3,3
44fbe18f-fb02-4d16-ba52-d6e03275541e,MERSİN,3,3
d14d349d-2daf-4639-9c66-53ddce02aeda,EDİRNE,3,3
e00fd4e3-2d2a-4066-8069-06bda27d2fcb,KIRIKKALE,3,3
bb35b134-f081-4cb8-844b-0f60da38da06,ANTALYA,3,3
f883026a-09e0-44bd-af64-57ade8bab97b,KOCAELİ,3,3
571c9fb2-5744-46ab-9509-9e96d067f9e7,ARDAHAN,3,3
a87794ee-f7a8-40de-acb2-165add773634,SAKARYA,3,3
1ff22d1d-8450-436f-8085-3b1fd140afa8,ŞIRNAK,3,3
006b7ca0-1c73-43fb-93d7-b7fef750c97a,MARDİN,3,3
dda5c4bd-079d-49aa-af3f-5146056fba1d,BARTIN,3,3
de2a8328-eb33-414a-937f-9d8282744536,BİLECİK,3,3
63990a9e-ab03-4cb3-b00e-bb93848896ca,BATMAN,3,3
